track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.793,0.677,123.941,0.0842,0.794,0.0952,0.0,70.0,70.3076923076923,0.46153846153846156,0,0,70
0.492,0.789,120.151,0.0276,0.828,0.128,0.0,84.0,84.1923076923077,0.3941134909984461,0,0,84
0.425,0.27,102.078,0.0333,0.357,0.322,0.0,83.0,83.03921568627452,0.1941077438551307,0,0,84
0.621,0.715,113.968,0.0486,0.738,0.692,0.0,2.0,2.0,0.0,0,0,2
0.498,0.405,106.044,0.18,0.879,0.0967,0.0,69.0,69.0,0.0,0,0,69
0.415,0.318,76.986,0.174,0.883,0.063,0.0,58.0,58.0,0.0,0,0,58
0.705,0.672,101.003,0.0278,0.764,0.0943,0.0,77.0,76.96363636363637,0.18719327529067273,0,0,77
0.415,0.156,136.029,0.0707,0.74,0.319,0.016666666666666666,60.0,60.03846153846154,0.19230769230769232,1,1,61
0.239,0.0927,79.859,0.0398,0.631,0.116,0.0,66.0,66.1923076923077,0.3941134909984461,0,0,66
0.464,0.638,109.004,0.0645,0.901,0.238,0.0,77.0,77.03846153846153,0.19230769230769232,0,0,77
0.511,0.837,151.947,0.164,0.81,0.0832,0.0,66.0,65.8076923076923,0.3941134909984461,0,0,66
0.431,0.629,130.022,0.0622,0.728,0.0996,0.0,70.0,69.57692307692308,0.4940474068717357,0,0,70
0.85,0.865,98.013,0.0642,0.738,0.23,0.0,61.0,61.07692307692308,0.2664693550105965,0,0,61
0.157,0.522,115.023,0.375,0.974,0.279,0.0,38.0,37.96153846153846,0.19230769230769232,0,0,38
0.841,0.814,100.003,0.0391,0.743,0.133,0.0,57.0,56.80769230769231,0.3941134909984461,0,0,57
0.431,0.236,127.085,0.0364,0.785,0.0887,0.0,2.0,2.1153846153846154,0.31948553318915673,0,0,2
0.97,0.868,114.328,0.0504,0.808,0.154,0.0,82.0,82.0,0.0,0,0,83
0.433,0.394,122.074,0.187,0.762,0.118,0.0,69.0,68.96153846153847,0.19230769230769232,0,0,69
0.602,0.269,179.798,0.368,0.48,0.0848,0.0,74.0,74.0,0.0,0,0,74
0.534,0.173,131.798,0.0555,0.487,0.1,0.0,71.0,71.11538461538461,0.31948553318915673,0,0,72
0.807,0.398,124.053,0.0336,0.612,0.101,0.0,90.0,90.0,0.0,0,0,90
0.541,0.724,120.082,0.0493,0.686,0.0675,0.0,65.0,64.57692307692308,0.49404740687173576,0,0,65
0.413,0.467,93.005,0.0299,0.662,0.134,-0.16666666666666666,4.0,4.153846153846154,0.6007884366082041,-1,0,5
0.497,0.585,95.818,0.105,0.749,0.0504,0.0,73.0,72.8125,0.3903123748998999,0,0,73
0.454,0.837,81.618,0.201,0.834,0.114,0.0,67.0,67.0,0.0,0,0,67
0.802,0.682,144.015,0.0878,0.737,0.0931,0.0,78.0,78.0,0.0,0,0,78
